From,To,Weight,Level
7.85,5.25,1,103
5.25,7.77,1,104
7.77,8.23,1,105
8.23,4.68,1,106
4.68,7.4,1,107
816.98,1189.33,1,88
1189.33,328.79,1,89
328.79,566.47,1,90
566.47,350.36,1,91
350.36,169.37,1,92
169.37,3122.29,1,93
3122.29,2117.87,1,94
2117.87,2396.73,1,95
2396.73,1524.49,1,96
1524.49,2472.03,1,97
2472.03,1775.86,1,98
1775.86,127.72,1,99
127.72,589.98,1,100
589.98,781.18,1,101
781.18,1081.95,1,102
1081.95,2785.13,1,103
2785.13,1826.96,1,104
1826.96,813.52,1,105
813.52,1598.0,1,106
1598.0,3673.18,1,107
3673.18,3713.71,1,108
3713.71,3337.06,1,109
3337.06,1934.72,1,110
1934.72,797.74,1,111
797.74,1882.37,1,112
1882.37,13.71,1,113
13.71,747.52,1,114
747.52,245.25,1,115
245.25,1427.89,1,116
1427.89,136.09,1,117
136.09,1983.79,1,118
1983.79,199.1,1,119
199.1,577.55,1,120
577.55,1076.8,1,121
1076.8,1671.49,1,122
1671.49,750.74,1,123
750.74,313.91,1,124
313.91,183.7,1,125
183.7,1372.16,1,126
1372.16,1289.74,1,127
1289.74,617.0,1,128
617.0,1828.38,1,129
1828.38,155.71,1,130
155.71,2213.61,1,131
2213.61,529.51,1,132
529.51,334.43,1,133
334.43,654.38,1,134
654.38,1671.32,1,135
1671.32,2225.26,1,136
2225.26,666.75,1,137
666.75,237.41,1,138
237.41,373.58,1,139
9.02,4.6,1,28
4.6,4.18,1,29
4.18,7.3,1,30
7.3,31.09,1,31
9.08,2.16,1,51
2.16,6.25,1,52
6.25,29.8,1,53
29.8,33.07,1,54
33.07,16.8,1,55
16.8,14.27,1,56
14.27,11.15,1,57
11.15,16.39,1,58
16.39,22.98,1,59
22.98,3.57,1,60
3.57,27.77,1,61
27.77,26.44,1,62
9.1,28.0,1,30
28.0,28.49,1,31
28.49,17.57,1,32
17.57,4.57,1,33
4.57,11.72,1,34
11.72,34.96,1,35
9.15,6.82,1,19
6.82,5.04,1,20
5.04,33.78,1,21
33.78,25.19,1,22
25.19,43.97,1,23
43.97,30.74,1,24
30.74,16.27,1,25
16.27,35.89,1,26
35.89,40.41,1,27
40.41,36.76,1,28
36.76,42.08,1,29
42.08,13.3,1,30
13.3,22.15,1,31
22.15,6.05,1,32
6.05,38.35,1,33
38.35,23.1,1,34
23.1,11.59,1,35
11.59,29.75,1,36
9.2,20.05,1,18
9.57,17.63,1,33
17.63,16.77,1,34
16.77,26.09,1,35
26.09,38.97,1,36
38.97,18.69,1,37
18.69,33.19,1,38
33.19,8.25,1,39
8.25,4.36,1,40
4.36,4.7,1,41
4.7,31.82,1,42
31.82,22.41,1,43
9.57,30.77,1,33
