From,To,Weight,Level,Strategy,Score,Reason,ParentPath
166,81,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100 -> 166
166,72,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100 -> 166
143,99,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100 -> 143
143,192,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100 -> 143
141,200,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78 -> 141
141,167,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78 -> 141
15,125,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78 -> 15
15,126,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78 -> 15
135,152,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160 -> 135
135,179,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160 -> 135
154,29,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160 -> 154
154,25,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160 -> 154
179,45,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168 -> 179
179,1,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168 -> 179
155,7,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168 -> 155
155,139,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168 -> 155
106,162,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37 -> 106
106,158,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37 -> 106
117,64,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37 -> 117
117,115,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37 -> 117
