From,To,Weight,TransitionType
179,143,8,normal_transition
179,170,8,normal_transition
179,96,8,normal_transition
18,143,8,normal_transition
18,186,8,normal_transition
18,25,8,normal_transition
18,30,8,normal_transition
18,51,8,normal_transition
18,78,8,normal_transition
180,16,8,normal_transition
180,76,8,normal_transition
180,77,8,normal_transition
181,161,8,normal_transition
181,22,8,normal_transition
181,35,8,normal_transition
181,92,8,normal_transition
182,115,8,normal_transition
182,55,8,normal_transition
183,196,8,normal_transition
184,121,8,normal_transition
184,154,8,normal_transition
184,182,8,normal_transition
184,45,8,normal_transition
184,67,8,normal_transition
184,99,8,normal_transition
185,101,8,normal_transition
185,149,8,normal_transition
185,164,8,normal_transition
185,45,8,normal_transition
185,94,8,normal_transition
186,186,8,normal_transition
186,34,8,normal_transition
187,182,8,normal_transition
187,66,8,normal_transition
188,198,8,normal_transition
188,44,8,normal_transition
188,59,8,normal_transition
188,7,8,normal_transition
188,8,8,normal_transition
188,96,8,normal_transition
189,14,8,normal_transition
189,157,8,normal_transition
189,173,8,normal_transition
19,176,8,normal_transition
19,29,8,normal_transition
19,47,8,normal_transition
19,57,8,normal_transition
19,66,8,normal_transition
19,85,8,normal_transition
190,143,8,normal_transition
190,184,8,normal_transition
191,50,8,normal_transition
191,68,8,normal_transition
191,74,8,normal_transition
192,107,8,normal_transition
192,167,8,normal_transition
192,185,8,normal_transition
192,195,8,normal_transition
192,41,8,normal_transition
192,57,8,normal_transition
194,74,8,normal_transition
194,86,8,normal_transition
194,88,8,normal_transition
195,110,8,normal_transition
195,129,8,normal_transition
195,142,8,normal_transition
195,150,8,normal_transition
195,189,8,normal_transition
195,64,8,normal_transition
195,65,8,normal_transition
196,173,8,normal_transition
197,145,8,normal_transition
197,178,8,normal_transition
198,115,8,normal_transition
198,145,8,normal_transition
198,163,8,normal_transition
198,25,8,normal_transition
198,53,8,normal_transition
198,6,8,normal_transition
198,75,8,normal_transition
2,118,8,normal_transition
2,127,8,normal_transition
2,13,8,normal_transition
2,198,8,normal_transition
2,45,8,normal_transition
2,69,8,normal_transition
2,72,8,normal_transition
2,80,8,normal_transition
20,63,8,normal_transition
20,72,8,normal_transition
21,113,8,normal_transition
21,170,8,normal_transition
22,10,8,normal_transition
22,115,8,normal_transition
22,195,8,normal_transition
22,41,8,normal_transition
22,62,8,normal_transition
23,132,8,normal_transition
23,141,8,normal_transition
24,109,8,normal_transition
24,150,8,normal_transition
24,164,8,normal_transition
24,193,8,normal_transition
24,21,8,normal_transition
24,64,8,normal_transition
24,67,8,normal_transition
24,73,8,normal_transition
25,176,8,normal_transition
26,181,8,normal_transition
26,31,8,normal_transition
26,7,8,normal_transition
27,116,8,normal_transition
27,185,8,normal_transition
27,58,8,normal_transition
27,69,8,normal_transition
27,71,8,normal_transition
27,74,8,normal_transition
28,35,8,normal_transition
28,81,8,normal_transition
28,9,8,normal_transition
29,119,8,normal_transition
3,101,8,normal_transition
3,105,8,normal_transition
3,181,8,normal_transition
30,115,8,normal_transition
30,120,8,normal_transition
30,57,8,normal_transition
31,187,8,normal_transition
31,28,8,normal_transition
31,99,8,normal_transition
32,150,8,normal_transition
32,176,8,normal_transition
32,27,8,normal_transition
32,68,8,normal_transition
33,105,8,normal_transition
33,160,8,normal_transition
34,106,8,normal_transition
34,118,8,normal_transition
34,185,8,normal_transition
34,61,8,normal_transition
34,65,8,normal_transition
34,84,8,normal_transition
35,124,8,normal_transition
35,183,8,normal_transition
36,10,8,normal_transition
36,133,8,normal_transition
36,143,8,normal_transition
36,55,8,normal_transition
36,59,8,normal_transition
36,85,8,normal_transition
36,98,8,normal_transition
37,106,8,normal_transition
37,117,8,normal_transition
37,195,8,normal_transition
37,198,8,normal_transition
37,85,8,normal_transition
38,108,8,normal_transition
38,160,8,normal_transition
38,2,8,normal_transition
38,24,8,normal_transition
38,34,8,normal_transition
39,123,8,normal_transition
39,144,8,normal_transition
39,93,8,normal_transition
39,98,8,normal_transition
40,192,8,normal_transition
40,49,8,normal_transition
40,84,8,normal_transition
42,118,8,normal_transition
42,143,8,normal_transition
42,71,8,normal_transition
43,61,8,normal_transition
44,22,8,normal_transition
44,89,8,normal_transition
45,100,8,normal_transition
46,116,8,normal_transition
46,171,8,normal_transition
46,51,8,normal_transition
47,12,8,normal_transition
47,163,8,normal_transition
48,152,8,normal_transition
48,170,8,normal_transition
5,6,8,normal_transition
50,131,8,normal_transition
50,134,8,normal_transition
50,147,8,normal_transition
50,49,8,normal_transition
50,88,8,normal_transition
51,12,8,normal_transition
51,124,8,normal_transition
51,200,8,normal_transition
52,18,8,normal_transition
52,24,8,normal_transition
53,28,8,normal_transition
53,41,8,normal_transition
54,101,8,normal_transition
54,146,8,normal_transition
54,157,8,normal_transition
54,189,8,normal_transition
54,86,8,normal_transition
55,122,8,normal_transition
55,191,8,normal_transition
55,31,8,normal_transition
55,36,8,normal_transition
55,65,8,normal_transition
55,8,8,normal_transition
56,102,8,normal_transition
56,9,8,normal_transition
57,136,8,normal_transition
57,21,8,normal_transition
57,26,8,normal_transition
57,87,8,normal_transition
58,144,8,normal_transition
58,160,8,normal_transition
58,169,8,normal_transition
58,96,8,normal_transition
59,128,8,normal_transition
59,185,8,normal_transition
6,14,8,normal_transition
6,22,8,normal_transition
6,45,8,normal_transition
60,102,8,normal_transition
60,114,8,normal_transition
60,18,8,normal_transition
60,37,8,normal_transition
60,82,8,normal_transition
61,144,8,normal_transition
62,102,8,normal_transition
62,35,8,normal_transition
63,136,8,normal_transition
63,137,8,normal_transition
63,85,8,normal_transition
64,12,8,normal_transition
64,128,8,normal_transition
64,184,8,normal_transition
64,38,8,normal_transition
64,63,8,normal_transition
64,74,8,normal_transition
64,87,8,normal_transition
65,125,8,normal_transition
65,26,8,normal_transition
65,35,8,normal_transition
65,91,8,normal_transition
65,96,8,normal_transition
66,13,8,normal_transition
66,23,8,normal_transition
66,97,8,normal_transition
67,131,8,normal_transition
67,27,8,normal_transition
67,87,8,normal_transition
68,20,8,normal_transition
68,62,8,normal_transition
68,89,8,normal_transition
69,107,8,normal_transition
69,13,8,normal_transition
69,34,8,normal_transition
7,154,8,normal_transition
7,60,8,normal_transition
70,155,8,normal_transition
70,94,8,normal_transition
70,99,8,normal_transition
71,152,8,normal_transition
71,190,8,normal_transition
72,160,8,normal_transition
72,23,8,normal_transition
72,7,8,normal_transition
73,138,8,normal_transition
73,178,8,normal_transition
73,63,8,normal_transition
74,117,8,normal_transition
74,150,8,normal_transition
74,182,8,normal_transition
74,73,8,normal_transition
75,135,8,normal_transition
75,22,8,normal_transition
75,56,8,normal_transition
75,86,8,normal_transition
75,88,8,normal_transition
76,26,8,normal_transition
76,27,8,normal_transition
76,37,8,normal_transition
77,113,8,normal_transition
77,120,8,normal_transition
77,195,8,normal_transition
77,200,8,normal_transition
78,100,8,normal_transition
78,122,8,normal_transition
78,139,8,normal_transition
78,47,8,normal_transition
78,88,8,normal_transition
79,164,8,normal_transition
8,15,8,normal_transition
8,19,8,normal_transition
8,196,8,normal_transition
8,29,8,normal_transition
8,76,8,normal_transition
8,8,8,normal_transition
80,113,8,normal_transition
80,152,8,normal_transition
80,95,8,normal_transition
81,10,8,normal_transition
81,26,8,normal_transition
81,4,8,normal_transition
81,44,8,normal_transition
81,90,8,normal_transition
82,159,8,normal_transition
82,161,8,normal_transition
82,195,8,normal_transition
83,74,8,normal_transition
84,10,8,normal_transition
84,153,8,normal_transition
84,184,8,normal_transition
84,195,8,normal_transition
85,100,8,normal_transition
85,138,8,normal_transition
85,147,8,normal_transition
85,81,8,normal_transition
85,88,8,normal_transition
86,13,8,normal_transition
86,195,8,normal_transition
86,66,8,normal_transition
86,84,8,normal_transition
87,101,8,normal_transition
87,127,8,normal_transition
87,128,8,normal_transition
87,171,8,normal_transition
87,185,8,normal_transition
87,61,8,normal_transition
88,73,8,normal_transition
89,101,8,normal_transition
89,17,8,normal_transition
89,177,8,normal_transition
89,6,8,normal_transition
9,161,8,normal_transition
9,163,8,normal_transition
9,27,8,normal_transition
9,3,8,normal_transition
9,51,8,normal_transition
90,130,8,normal_transition
90,197,8,normal_transition
90,25,8,normal_transition
90,34,8,normal_transition
90,87,8,normal_transition
91,103,8,normal_transition
91,144,8,normal_transition
92,167,8,normal_transition
92,27,8,normal_transition
92,59,8,normal_transition
92,94,8,normal_transition
93,166,8,normal_transition
93,21,8,normal_transition
93,77,8,normal_transition
94,108,8,normal_transition
94,139,8,normal_transition
94,182,8,normal_transition
95,118,8,normal_transition
95,55,8,normal_transition
95,91,8,normal_transition
96,49,8,normal_transition
96,5,8,normal_transition
97,123,8,normal_transition
97,139,8,normal_transition
97,159,8,normal_transition
97,18,8,normal_transition
97,3,8,normal_transition
97,73,8,normal_transition
97,86,8,normal_transition
98,85,8,normal_transition
98,93,8,normal_transition
99,109,8,normal_transition
99,132,8,normal_transition
99,158,8,normal_transition
99,169,8,normal_transition
99,19,8,normal_transition
99,199,8,normal_transition
99,21,8,normal_transition
99,64,8,normal_transition
99,81,8,normal_transition
99,82,8,normal_transition
99,96,8,normal_transition
1,170,7,normal_transition
1,175,7,normal_transition
1,178,7,normal_transition
1,45,7,normal_transition
1,61,7,normal_transition
10,111,7,normal_transition
10,132,7,normal_transition
10,18,7,normal_transition
10,21,7,normal_transition
10,31,7,normal_transition
10,32,7,normal_transition
10,57,7,normal_transition
100,10,7,normal_transition
100,123,7,normal_transition
100,167,7,normal_transition
100,169,7,normal_transition
100,173,7,normal_transition
100,25,7,normal_transition
100,36,7,normal_transition
100,40,7,normal_transition
100,99,7,normal_transition
101,102,7,normal_transition
101,123,7,normal_transition
101,130,7,normal_transition
101,178,7,normal_transition
101,49,7,normal_transition
102,107,7,normal_transition
102,16,7,normal_transition
102,163,7,normal_transition
102,175,7,normal_transition
102,189,7,normal_transition
102,60,7,normal_transition
102,90,7,normal_transition
103,107,7,normal_transition
103,109,7,normal_transition
103,13,7,normal_transition
103,145,7,normal_transition
103,22,7,normal_transition
103,60,7,normal_transition
103,78,7,normal_transition
103,95,7,normal_transition
104,154,7,normal_transition
104,156,7,normal_transition
104,173,7,normal_transition
104,189,7,normal_transition
104,190,7,normal_transition
104,32,7,normal_transition
104,40,7,normal_transition
105,100,7,normal_transition
105,109,7,normal_transition
105,112,7,normal_transition
105,163,7,normal_transition
105,178,7,normal_transition
105,39,7,normal_transition
105,98,7,normal_transition
106,105,7,normal_transition
106,160,7,normal_transition
106,181,7,normal_transition
106,29,7,normal_transition
106,30,7,normal_transition
106,56,7,normal_transition
107,132,7,normal_transition
107,134,7,normal_transition
107,140,7,normal_transition
107,24,7,normal_transition
107,49,7,normal_transition
107,56,7,normal_transition
107,7,7,normal_transition
107,70,7,normal_transition
107,74,7,normal_transition
108,41,7,normal_transition
108,43,7,normal_transition
108,55,7,normal_transition
108,79,7,normal_transition
109,121,7,normal_transition
109,142,7,normal_transition
109,194,7,normal_transition
109,50,7,normal_transition
109,60,7,normal_transition
109,68,7,normal_transition
11,100,7,normal_transition
11,136,7,normal_transition
11,175,7,normal_transition
11,64,7,normal_transition
11,68,7,normal_transition
11,83,7,normal_transition
110,109,7,normal_transition
110,118,7,normal_transition
110,121,7,normal_transition
110,186,7,normal_transition
110,64,7,normal_transition
110,7,7,normal_transition
110,85,7,normal_transition
