customer,timestamp,item,next_item,sequence_position
S020,2,39,110,2
S020,3,110,114,3
S020,4,114,146,4
S020,5,146,99,5
S020,6,99,82,6
S020,7,82,197,7
S020,8,197,130,8
S020,9,130,146,9
S020,10,146,18,10
S020,11,18,45,11
S020,12,45,189,12
S020,13,189,45,13
S020,14,45,90,14
S020,15,90,55,15
S020,16,55,18,16
S020,17,18,154,17
S020,18,154,105,18
S020,19,105,SINK,19
S021,1,82,142,1
S021,2,142,118,2
S021,3,118,136,3
S021,4,136,48,4
S021,5,48,154,5
S021,6,154,16,6
S021,7,16,118,7
S021,8,118,34,8
S021,9,34,187,9
S021,10,187,192,10
S021,11,192,27,11
S021,12,27,54,12
S021,13,54,182,13
S021,14,182,113,14
S021,15,113,56,15
S021,16,56,90,16
S021,17,90,94,17
S021,18,94,SINK,18
S022,1,54,105,1
S022,2,105,69,2
S022,3,69,151,3
S022,4,151,26,4
S022,5,26,148,5
S022,6,148,39,6
S022,7,39,148,7
S022,8,148,129,8
S022,9,129,147,9
S022,10,147,113,10
S022,11,113,93,11
S022,12,93,SINK,12
S023,1,7,79,1
S023,2,79,131,2
S023,3,131,56,3
S023,4,56,9,4
S023,5,9,68,5
S023,6,68,2,6
S023,7,2,139,7
S023,8,139,126,8
S023,9,126,180,9
S023,10,180,SINK,10
S024,1,112,53,1
S024,2,53,185,2
S024,3,185,54,3
S024,4,54,65,4
S024,5,65,191,5
S024,6,191,17,6
S024,7,17,77,7
S024,8,77,181,8
S024,9,181,64,9
S024,10,64,65,10
S024,11,65,19,11
S024,12,19,177,12
S024,13,177,83,13
S024,14,83,SINK,14
S025,1,103,21,1
S025,2,21,116,2
S025,3,116,95,3
S025,4,95,175,4
S025,5,175,128,5
S025,6,128,50,6
S025,7,50,161,7
S025,8,161,70,8
S025,9,70,57,9
S025,10,57,SINK,10
S026,1,111,93,1
S026,2,93,15,2
S026,3,15,155,3
S026,4,155,135,4
S026,5,135,100,5
S026,6,100,31,6
S026,7,31,182,7
S026,8,182,169,8
S026,9,169,83,9
S026,10,83,1,10
S026,11,1,66,11
S026,12,66,SINK,12
S027,1,168,144,1
S027,2,144,184,2
S027,3,184,53,3
S027,4,53,180,4
S027,5,180,195,5
S027,6,195,75,6
S027,7,75,168,7
S027,8,168,92,8
S027,9,92,115,9
S027,10,115,158,10
S027,11,158,87,11
S027,12,87,SINK,12
S028,1,3,58,1
S028,2,58,43,2
S028,3,43,26,3
S028,4,26,119,4
S028,5,119,120,5
S028,6,120,122,6
S028,7,122,34,7
S028,8,34,88,8
S028,9,88,119,9
S028,10,119,110,10
S028,11,110,161,11
S028,12,161,37,12
S028,13,37,167,13
S028,14,167,155,14
S028,15,155,57,15
S028,16,57,19,16
S028,17,19,38,17
S028,18,38,SINK,18
S029,1,126,98,1
S029,2,98,89,2
S029,3,89,176,3
S029,4,176,36,4
S029,5,36,95,5
S029,6,95,47,6
S029,7,47,44,7
S029,8,44,85,8
S029,9,85,SINK,9
S030,1,199,169,1
S030,2,169,121,2
S030,3,121,90,3
S030,4,90,121,4
S030,5,121,150,5
S030,6,150,125,6
S030,7,125,5,7
S030,8,5,171,8
S030,9,171,172,9
S030,10,172,142,10
S030,11,142,73,11
S030,12,73,53,12
S030,13,53,17,13
S030,14,17,45,14
S030,15,45,200,15
S030,16,200,80,16
S030,17,80,SINK,17
S031,1,99,182,1
S031,2,182,168,2
S031,3,168,69,3
S031,4,69,48,4
S031,5,48,148,5
S031,6,148,91,6
S031,7,91,184,7
S031,8,184,56,8
S031,9,56,28,9
S031,10,28,100,10
S031,11,100,161,11
S031,12,161,17,12
S031,13,17,SINK,13
S032,1,153,144,1
S032,2,144,93,2
S032,3,93,172,3
S032,4,172,106,4
S032,5,106,28,5
S032,6,28,20,6
S032,7,20,146,7
S032,8,146,149,8
S032,9,149,173,9
S032,10,173,126,10
S032,11,126,193,11
S032,12,193,57,12
S032,13,57,22,13
S032,14,22,36,14
S032,15,36,SINK,15
S033,1,131,32,1
S033,2,32,42,2
S033,3,42,132,3
S033,4,132,63,4
S033,5,63,19,5
S033,6,19,21,6
S033,7,21,135,7
S033,8,135,45,8
S033,9,45,SINK,9
S034,1,116,58,1
S034,2,58,121,2
S034,3,121,37,3
S034,4,37,164,4
S034,5,164,96,5
S034,6,96,1,6
S034,7,1,35,7
S034,8,35,92,8
S034,9,92,22,9
S034,10,22,148,10
S034,11,148,7,11
S034,12,7,103,12
S034,13,103,198,13
S034,14,198,126,14
S034,15,126,SINK,15
S035,1,94,77,1
S035,2,77,83,2
S035,3,83,143,3
S035,4,143,32,4
S035,5,32,176,5
S035,6,176,98,6
S035,7,98,20,7
S035,8,20,57,8
S035,9,57,51,9
S035,10,51,177,10
S035,11,177,181,11
S035,12,181,100,12
S035,13,100,109,13
S035,14,109,37,14
S035,15,37,SINK,15
S036,1,61,124,1
S036,2,124,50,2
S036,3,50,182,3
S036,4,182,38,4
S036,5,38,138,5
S036,6,138,132,6
S036,7,132,33,7
S036,8,33,8,8
S036,9,8,189,9
S036,10,189,189,10
S036,11,189,80,11
S036,12,80,6,12
S036,13,6,24,13
S036,14,24,171,14
S036,15,171,58,15
S036,16,58,135,16
S036,17,135,196,17
S036,18,196,79,18
S036,19,79,151,19
S036,20,151,SINK,20
S037,1,112,93,1
S037,2,93,22,2
S037,3,22,90,3
S037,4,90,141,4
S037,5,141,82,5
S037,6,82,192,6
S037,7,192,47,7
S037,8,47,106,8
S037,9,106,169,9
S037,10,169,135,10
S037,11,135,SINK,11
S038,1,91,53,1
S038,2,53,100,2
S038,3,100,53,3
S038,4,53,185,4
S038,5,185,28,5
S038,6,28,26,6
S038,7,26,136,7
S038,8,136,71,8
S038,9,71,135,9
S038,10,135,37,10
S038,11,37,43,11
S038,12,43,3,12
S038,13,3,189,13
S038,14,189,36,14
S038,15,36,SINK,15
S039,1,21,189,1
S039,2,189,153,2
S039,3,153,178,3
S039,4,178,51,4
S039,5,51,83,5
S039,6,83,18,6
S039,7,18,76,7
S039,8,76,134,8
S039,9,134,37,9
S039,10,37,148,10
S039,11,148,43,11
S039,12,43,63,12
S039,13,63,200,13
S039,14,200,144,14
S039,15,144,SINK,15
S040,1,106,184,1
S040,2,184,25,2
S040,3,25,40,3
S040,4,40,92,4
S040,5,92,155,5
S040,6,155,91,6
S040,7,91,75,7
S040,8,75,171,8
S040,9,171,SINK,9
S041,1,98,64,1
S041,2,64,46,2
S041,3,46,157,3
S041,4,157,89,4
S041,5,89,193,5
S041,6,193,23,6
S041,7,23,21,7
S041,8,21,17,8
S041,9,17,104,9
S041,10,104,120,10
S041,11,120,197,11
S041,12,197,167,12
S041,13,167,24,13
S041,14,24,42,14
S041,15,42,82,15
S041,16,82,129,16
S041,17,129,147,17
S041,18,147,129,18
S041,19,129,152,19
S041,20,152,SINK,20
S042,1,148,84,1
S042,2,84,183,2
S042,3,183,3,3
S042,4,3,57,4
S042,5,57,156,5
S042,6,156,9,6
S042,7,9,75,7
S042,8,75,44,8
S042,9,44,162,9
S042,10,162,166,10
S042,11,166,27,11
S042,12,27,197,12
S042,13,197,117,13
S042,14,117,79,14
S042,15,79,44,15
S042,16,44,101,16
S042,17,101,122,17
S042,18,122,191,18
S042,19,191,SINK,19
S043,1,126,130,1
S043,2,130,151,2
S043,3,151,161,3
S043,4,161,199,4
S043,5,199,75,5
S043,6,75,195,6
S043,7,195,110,7
S043,8,110,83,8
S043,9,83,169,9
S043,10,169,142,10
S043,11,142,47,11
S043,12,47,100,12
S043,13,100,92,13
S043,14,92,197,14
S043,15,197,SINK,15
S044,1,139,23,1
S044,2,23,95,2
S044,3,95,195,3
S044,4,195,39,4
S044,5,39,69,5
S044,6,69,196,6
S044,7,196,113,7
S044,8,113,161,8
S044,9,161,55,9
S044,10,55,44,10
S044,11,44,119,11
S044,12,119,21,12
S044,13,21,42,13
S044,14,42,170,14
S044,15,170,27,15
S044,16,27,34,16
S044,17,34,175,17
S044,18,175,136,18
S044,19,136,32,19
S044,20,32,SINK,20
S045,1,25,87,1
S045,2,87,165,2
S045,3,165,149,3
S045,4,149,91,4
S045,5,91,143,5
S045,6,143,8,6
S045,7,8,45,7
S045,8,45,70,8
S045,9,70,49,9
S045,10,49,98,10
S045,11,98,145,11
S045,12,145,176,12
S045,13,176,114,13
S045,14,114,45,14
S045,15,45,159,15
S045,16,159,198,16
S045,17,198,145,17
S045,18,145,135,18
S045,19,135,SINK,19
S046,1,95,102,1
S046,2,102,23,2
S046,3,23,191,3
S046,4,191,29,4
S046,5,29,74,5
S046,6,74,76,6
S046,7,76,199,7
S046,8,199,44,8
S046,9,44,127,9
S046,10,127,SINK,10
S047,1,83,134,1
S047,2,134,31,2
S047,3,31,195,3
S047,4,195,21,4
S047,5,21,134,5
S047,6,134,180,6
S047,7,180,89,7
S047,8,89,35,8
S047,9,35,92,9
S047,10,92,20,10
S047,11,20,176,11
S047,12,176,62,12
S047,13,62,174,13
S047,14,174,27,14
S047,15,27,109,15
S047,16,109,114,16
S047,17,114,76,17
S047,18,76,198,18
S047,19,198,52,19
S047,20,52,158,20
S047,21,158,SINK,21
S048,1,24,173,1
S048,2,173,156,2
S048,3,156,197,3
S048,4,197,166,4
S048,5,166,160,5
S048,6,160,148,6
S048,7,148,146,7
S048,8,146,122,8
S048,9,122,155,9
S048,10,155,11,10
S048,11,11,200,11
S048,12,200,195,12
S048,13,195,140,13
S048,14,140,155,14
S048,15,155,129,15
S048,16,129,101,16
S048,17,101,185,17
S048,18,185,SINK,18
S049,1,191,9,1
S049,2,9,9,2
S049,3,9,120,3
S049,4,120,65,4
S049,5,65,30,5
S049,6,30,59,6
S049,7,59,108,7
S049,8,108,180,8
S049,9,180,34,9
S049,10,34,138,10
S049,11,138,134,11
S049,12,134,98,12
S049,13,98,67,13
S049,14,67,169,14
S049,15,169,78,15
S049,16,78,SINK,16
S050,1,107,142,1
S050,2,142,107,2
S050,3,107,36,3
S050,4,36,34,4
S050,5,34,40,5
S050,6,40,90,6
S050,7,90,32,7
S050,8,32,169,8
S050,9,169,10,9
S050,10,10,SINK,10
S051,1,40,3,1
S051,2,3,188,2
S051,3,188,194,3
S051,4,194,108,4
S051,5,108,112,5
S051,6,112,185,6
S051,7,185,111,7
S051,8,111,1,8
S051,9,1,56,9
S051,10,56,123,10
S051,11,123,163,11
S051,12,163,2,12
S051,13,2,34,13
S051,14,34,128,14
S051,15,128,198,15
S051,16,198,5,16
S051,17,5,SINK,17
S052,1,156,15,1
S052,2,15,63,2
S052,3,63,44,3
S052,4,44,105,4
S052,5,105,94,5
S052,6,94,163,6
S052,7,163,127,7
S052,8,127,162,8
S052,9,162,188,9
S052,10,188,96,10
S052,11,96,109,11
S052,12,109,38,12
S052,13,38,148,13
S052,14,148,66,14
S052,15,66,74,15
S052,16,74,SINK,16
S053,1,57,43,1
S053,2,43,15,2
S053,3,15,30,3
S053,4,30,86,4
S053,5,86,145,5
S053,6,145,16,6
S053,7,16,146,7
S053,8,146,132,8
S053,9,132,150,9
S053,10,150,144,10
S053,11,144,171,11
S053,12,171,33,12
S053,13,33,133,13
S053,14,133,193,14
S053,15,193,SINK,15
S054,1,140,85,1
S054,2,85,189,2
S054,3,189,119,3
S054,4,119,173,4
S054,5,173,10,5
S054,6,10,118,6
S054,7,118,63,7
S054,8,63,175,8
S054,9,175,195,9
S054,10,195,85,10
S054,11,85,51,11
S054,12,51,24,12
S054,13,24,67,13
S054,14,67,24,14
S054,15,24,89,15
S054,16,89,119,16
S054,17,119,118,17
S054,18,118,161,18
S054,19,161,141,19
S054,20,141,SINK,20
S055,1,67,10,1
S055,2,10,120,2
S055,3,120,110,3
S055,4,110,143,4
S055,5,143,24,5
S055,6,24,159,6
S055,7,159,14,7
S055,8,14,40,8
S055,9,40,69,9
S055,10,69,5,10
S055,11,5,SINK,11
S056,1,54,55,1
S056,2,55,80,2
S056,3,80,8,3
S056,4,8,80,4
S056,5,80,74,5
S056,6,74,80,6
S056,7,80,28,7
S056,8,28,1,8
S056,9,1,9,9
S056,10,9,71,10
S056,11,71,200,11
S056,12,200,151,12
S056,13,151,139,13
S056,14,139,150,14
S056,15,150,SINK,15
S057,1,36,135,1
S057,2,135,112,2
S057,3,112,173,3
S057,4,173,49,4
S057,5,49,79,5
S057,6,79,51,6
S057,7,51,68,7
S057,8,68,157,8
S057,9,157,111,9
S057,10,111,59,10
S057,11,59,109,11
S057,12,109,20,12
S057,13,20,SINK,13
S058,1,89,115,1
S058,2,115,62,2
S058,3,62,20,3
S058,4,20,162,4
S058,5,162,151,5
S058,6,151,83,6
S058,7,83,34,7
S058,8,34,152,8
S058,9,152,178,9
S058,10,178,94,10
S058,11,94,88,11
S058,12,88,153,12
S058,13,153,91,13
S058,14,91,197,14
S058,15,197,199,15
S058,16,199,101,16
S058,17,101,108,17
S058,18,108,140,18
S058,19,140,2,19
S058,20,2,SINK,20
S059,1,81,103,1
S059,2,103,60,2
S059,3,60,47,3
S059,4,47,178,4
S059,5,178,66,5
S059,6,66,188,6
S059,7,188,72,7
S059,8,72,196,8
S059,9,196,85,9
S059,10,85,37,10
S059,11,37,5,11
S059,12,5,9,12
S059,13,9,96,13
S059,14,96,171,14
S059,15,171,SINK,15
S060,1,109,45,1
S060,2,45,128,2
S060,3,128,161,3
S060,4,161,58,4
S060,5,58,138,5
S060,6,138,60,6
S060,7,60,45,7
S060,8,45,158,8
S060,9,158,16,9
S060,10,16,133,10
S060,11,133,SINK,11
S061,1,154,16,1
S061,2,16,179,2
S061,3,179,169,3
S061,4,169,2,4
S061,5,2,177,5
S061,6,177,88,6
S061,7,88,120,7
S061,8,120,47,8
S061,9,47,1,9
S061,10,1,58,10
S061,11,58,60,11
S061,12,60,193,12
S061,13,193,63,13
S061,14,63,116,14
S061,15,116,SINK,15
S062,1,17,63,1
S062,2,63,149,2
S062,3,149,149,3
S062,4,149,170,4
S062,5,170,99,5
S062,6,99,141,6
S062,7,141,78,7
S062,8,78,165,8
S062,9,165,139,9
S062,10,139,60,10
S062,11,60,198,11
S062,12,198,107,12
S062,13,107,97,13
S062,14,97,117,14
S062,15,117,SINK,15
S063,1,55,55,1
S063,2,55,162,2
S063,3,162,8,3
S063,4,8,91,4
S063,5,91,55,5
S063,6,55,94,6
S063,7,94,166,7
S063,8,166,187,8
S063,9,187,73,9
S063,10,73,SINK,10
S064,1,129,51,1
S064,2,51,69,2
S064,3,69,80,3
S064,4,80,25,4
S064,5,25,2,5
S064,6,2,68,6
S064,7,68,84,7
S064,8,84,80,8
S064,9,80,193,9
S064,10,193,30,10
S064,11,30,105,11
S064,12,105,170,12
S064,13,170,21,13
S064,14,21,104,14
S064,15,104,181,15
S064,16,181,SINK,16
S065,1,187,59,1
S065,2,59,53,2
S065,3,53,178,3
S065,4,178,1,4
S065,5,1,154,5
S065,6,154,63,6
S065,7,63,137,7
S065,8,137,157,8
S065,9,157,60,9
S065,10,60,15,10
S065,11,15,48,11
S065,12,48,111,12
S065,13,111,102,13
S065,14,102,31,14
S065,15,31,81,15
S065,16,81,92,16
S065,17,92,73,17
S065,18,73,13,18
S065,19,13,SINK,19
S066,1,176,83,1
S066,2,83,199,2
S066,3,199,18,3
S066,4,18,52,4
S066,5,52,179,5
S066,6,179,127,6
S066,7,127,90,7
S066,8,90,193,8
S066,9,193,SINK,9
S067,1,97,29,1
S067,2,29,147,2
S067,3,147,186,3
S067,4,186,9,4
S067,5,9,66,5
S067,6,66,195,6
S067,7,195,129,7
S067,8,129,107,8
S067,9,107,121,9
S067,10,121,98,10
S067,11,98,138,11
S067,12,138,170,12
S067,13,170,12,13
S067,14,12,151,14
S067,15,151,193,15
S067,16,193,56,16
S067,17,56,22,17
S067,18,22,SINK,18
S068,1,125,178,1
S068,2,178,161,2
S068,3,161,193,3
S068,4,193,135,4
S068,5,135,71,5
S068,6,71,119,6
S068,7,119,189,7
S068,8,189,102,8
S068,9,102,115,9
S068,10,115,192,10
S068,11,192,34,11
S068,12,34,SINK,12
S069,1,22,140,1
S069,2,140,9,2
S069,3,9,188,3
S069,4,188,177,4
S069,5,177,84,5
S069,6,84,53,6
S069,7,53,169,7
S069,8,169,60,8
S069,9,60,105,9
S069,10,105,160,10
S069,11,160,57,11
S069,12,57,SINK,12
S070,1,79,35,1
S070,2,35,58,2
S070,3,58,93,3
S070,4,93,67,4
S070,5,67,137,5
S070,6,137,39,6
S070,7,39,160,7
S070,8,160,46,8
S070,9,46,145,9
S070,10,145,159,10
S070,11,159,56,11
S070,12,56,5,12
S070,13,5,143,13
S070,14,143,143,14
S070,15,143,84,15
S070,16,84,143,16
S070,17,143,195,17
S070,18,195,SINK,18
S071,1,85,3,1
S071,2,3,171,2
S071,3,171,14,3
S071,4,14,165,4
S071,5,165,27,5
S071,6,27,179,6
S071,7,179,164,7
S071,8,164,192,8
S071,9,192,192,9
S071,10,192,SINK,10
S072,1,89,72,1
S072,2,72,11,2
S072,3,11,129,3
S072,4,129,88,4
S072,5,88,93,5
S072,6,93,150,6
S072,7,150,151,7
S072,8,151,60,8
S072,9,60,59,9
S072,10,59,67,10
S072,11,67,178,11
S072,12,178,142,12
S072,13,142,117,13
S072,14,117,176,14
S072,15,176,174,15
S072,16,174,69,16
S072,17,69,139,17
S072,18,139,36,18
S072,19,36,SINK,19
S073,1,150,30,1
S073,2,30,135,2
S073,3,135,74,3
S073,4,74,39,4
S073,5,39,132,5
S073,6,132,10,6
S073,7,10,179,7
S073,8,179,87,8
S073,9,87,59,9
S073,10,59,114,10
S073,11,114,166,11
S073,12,166,147,12
S073,13,147,94,13
S073,14,94,102,14
S073,15,102,32,15
S073,16,32,188,16
S073,17,188,147,17
S073,18,147,178,18
S073,19,178,SINK,19
S074,1,95,159,1
S074,2,159,104,2
S074,3,104,33,3
S074,4,33,165,4
S074,5,165,115,5
S074,6,115,160,6
S074,7,160,196,7
S074,8,196,135,8
S074,9,135,183,9
S074,10,183,3,10
S074,11,3,62,11
S074,12,62,169,12
S074,13,169,87,13
S074,14,87,167,14
S074,15,167,182,15
S074,16,182,177,16
S074,17,177,SINK,17
S075,1,200,102,1
S075,2,102,103,2
S075,3,103,141,3
S075,4,141,108,4
S075,5,108,197,5
S075,6,197,145,6
S075,7,145,182,7
S075,8,182,43,8
S075,9,43,54,9
S075,10,54,34,10
S075,11,34,165,11
S075,12,165,191,12
S075,13,191,31,13
S075,14,31,134,14
S075,15,134,63,15
S075,16,63,188,16
S075,17,188,10,17
S075,18,10,10,18
S075,19,10,34,19
S075,20,34,SINK,20
S076,1,90,18,1
S076,2,18,54,2
S076,3,54,134,3
S076,4,134,65,4
S076,5,65,179,5
S076,6,179,200,6
S076,7,200,83,7
S076,8,83,104,8
S076,9,104,194,9
S076,10,194,125,10
S076,11,125,SINK,11
S077,1,86,44,1
S077,2,44,39,2
S077,3,39,79,3
S077,4,79,70,4
S077,5,70,51,5
S077,6,51,132,6
S077,7,132,199,7
S077,8,199,28,8
S077,9,28,91,9
S077,10,91,SINK,10
S078,1,20,131,1
S078,2,131,70,2
S078,3,70,95,3
S078,4,95,97,4
S078,5,97,116,5
S078,6,116,174,6
S078,7,174,56,7
S078,8,56,84,8
S078,9,84,79,9
S078,10,79,SINK,10
S079,1,178,143,1
S079,2,143,148,2
S079,3,148,194,3
S079,4,194,101,4
S079,5,101,123,5
S079,6,123,88,6
S079,7,88,181,7
S079,8,181,198,8
S079,9,198,183,9
S079,10,183,8,10
S079,11,8,1,11
S079,12,1,137,12
S079,13,137,94,13
S079,14,94,123,14
S079,15,123,155,15
S079,16,155,33,16
S079,17,33,95,17
S079,18,95,SINK,18
S080,1,151,158,1
S080,2,158,139,2
S080,3,139,15,3
S080,4,15,34,4
S080,5,34,110,5
S080,6,110,18,6
S080,7,18,154,7
S080,8,154,38,8
S080,9,38,109,9
S080,10,109,53,10
S080,11,53,36,11
S080,12,36,85,12
S080,13,85,111,13
S080,14,111,SINK,14
S081,1,102,184,1
S081,2,184,196,2
S081,3,196,48,3
S081,4,48,181,4
S081,5,181,150,5
S081,6,150,186,6
S081,7,186,136,7
S081,8,136,121,8
S081,9,121,68,9
S081,10,68,24,10
S081,11,24,200,11
S081,12,200,152,12
S081,13,152,12,13
S081,14,12,29,14
S081,15,29,140,15
S081,16,140,59,16
S081,17,59,82,17
S081,18,82,195,18
S081,19,195,156,19
S081,20,156,94,20
S081,21,94,SINK,21
S082,1,114,121,1
S082,2,121,194,2
S082,3,194,14,3
S082,4,14,140,4
S082,5,140,97,5
S082,6,97,93,6
S082,7,93,13,7
S082,8,13,79,8
S082,9,79,124,9
S082,10,124,42,10
S082,11,42,71,11
S082,12,71,195,12
S082,13,195,118,13
S082,14,118,195,14
S082,15,195,192,15
S082,16,192,83,16
S082,17,83,186,17
S082,18,186,38,18
S082,19,38,21,19
S082,20,21,SINK,20
S083,1,148,78,1
S083,2,78,133,2
S083,3,133,111,3
S083,4,111,153,4
S083,5,153,113,5
S083,6,113,132,6
S083,7,132,6,7
S083,8,6,19,8
S083,9,19,67,9
S083,10,67,16,10
