path,start,end,branch_depth,path_weight,bottleneck_weight,edges
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 87 -> 142 -> 123,150,123,23,227,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 189 -> 194 -> 122,150,122,23,225,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 100 -> 166 -> 81,150,81,23,223,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 169 -> 10 -> 119 -> 90,150,90,23,223,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 189 -> 194 -> 1,150,1,23,222,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 189 -> 194 -> 107,150,107,23,222,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 189 -> 194 -> 116,150,116,23,222,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 129 -> 159 -> 103 -> 20,150,20,23,221,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 33 -> 136 -> 48 -> 162,150,162,23,220,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 33 -> 136 -> 48 -> 145,150,145,23,219,7,23
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 117,150,117,22,219,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 87 -> 172,150,172,22,219,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 16,150,16,22,218,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 198 -> 193,150,193,22,215,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 26 -> 178 -> 36,150,36,22,214,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 198 -> 75,150,75,22,214,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 129 -> 159 -> 59,150,59,22,211,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 100 -> 68,150,68,22,210,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 129 -> 67 -> 104,150,104,22,210,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 129 -> 144 -> 94,150,94,22,209,7,22
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 7,150,7,21,209,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 91 -> 188,150,188,21,206,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 169 -> 196,150,196,21,205,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 50 -> 126,150,126,21,202,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 50 -> 58,150,58,21,202,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 129 -> 76,150,76,21,201,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 175 -> 173,150,173,21,200,7,21
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 157,150,157,20,197,7,20
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 46 -> 66,150,66,20,192,7,20
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 95,150,95,20,192,7,20
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 183,150,183,19,183,7,19
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 93,150,93,19,182,7,19
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 15,150,15,18,176,7,18
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 105 -> 184,150,184,16,154,7,16
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 28,150,28,15,145,7,15
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 60,150,60,13,123,7,13
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 137,150,137,12,114,7,12
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 106,150,106,11,105,7,11
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 132 -> 109 -> 168 -> 179,150,179,11,103,7,11
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 132 -> 109 -> 168 -> 155,150,155,11,101,7,11
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 69 -> 135 -> 152,150,152,11,99,7,11
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 132 -> 109 -> 37,150,37,10,91,7,10
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 114 -> 199 -> 22,150,22,10,90,7,10
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 132 -> 72,150,72,9,83,7,9
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 170 -> 171,150,171,9,82,7,9
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 127,150,127,8,71,7,8
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 23,150,23,6,58,7,6
150 -> 112 -> 185 -> 131 -> 44 -> 140 -> 97,150,97,6,55,7,6
150 -> 112 -> 185 -> 101 -> 77,150,77,4,35,7,4
150 -> 112 -> 158 -> 180,150,180,3,26,7,3
150 -> 112 -> 195,150,195,2,17,7,2
150 -> 112 -> 78,150,78,2,17,7,2
