customer,timestamp,item,sequence_position
S032,4,172,4
S032,5,106,5
S032,6,28,6
S032,7,20,7
S032,8,146,8
S032,9,149,9
S032,10,173,10
S032,11,126,11
S032,12,193,12
S032,13,57,13
S032,14,22,14
S032,15,36,15
S033,1,131,1
S033,2,32,2
S033,3,42,3
S033,4,132,4
S033,5,63,5
S033,6,19,6
S033,7,21,7
S033,8,135,8
S033,9,45,9
S034,1,116,1
S034,2,58,2
S034,3,121,3
S034,4,37,4
S034,5,164,5
S034,6,96,6
S034,7,1,7
S034,8,35,8
S034,9,92,9
S034,10,22,10
S034,11,148,11
S034,12,7,12
S034,13,103,13
S034,14,198,14
S034,15,126,15
S035,1,94,1
S035,2,77,2
S035,3,83,3
S035,4,143,4
S035,5,32,5
S035,6,176,6
S035,7,98,7
S035,8,20,8
S035,9,57,9
S035,10,51,10
S035,11,177,11
S035,12,181,12
S035,13,100,13
S035,14,109,14
S035,15,37,15
S036,1,61,1
S036,2,124,2
S036,3,50,3
S036,4,182,4
S036,5,38,5
S036,6,138,6
S036,7,132,7
S036,8,33,8
S036,9,8,9
S036,10,189,10
S036,11,189,11
S036,12,80,12
S036,13,6,13
S036,14,24,14
S036,15,171,15
S036,16,58,16
S036,17,135,17
S036,18,196,18
S036,19,79,19
S036,20,151,20
S037,1,112,1
S037,2,93,2
S037,3,22,3
S037,4,90,4
S037,5,141,5
S037,6,82,6
S037,7,192,7
S037,8,47,8
S037,9,106,9
S037,10,169,10
S037,11,135,11
S038,1,91,1
S038,2,53,2
S038,3,100,3
S038,4,53,4
S038,5,185,5
S038,6,28,6
S038,7,26,7
S038,8,136,8
S038,9,71,9
S038,10,135,10
S038,11,37,11
S038,12,43,12
S038,13,3,13
S038,14,189,14
S038,15,36,15
S039,1,21,1
S039,2,189,2
S039,3,153,3
S039,4,178,4
S039,5,51,5
S039,6,83,6
S039,7,18,7
S039,8,76,8
S039,9,134,9
S039,10,37,10
S039,11,148,11
S039,12,43,12
S039,13,63,13
S039,14,200,14
S039,15,144,15
S040,1,106,1
S040,2,184,2
S040,3,25,3
S040,4,40,4
S040,5,92,5
S040,6,155,6
S040,7,91,7
S040,8,75,8
S040,9,171,9
S041,1,98,1
S041,2,64,2
S041,3,46,3
S041,4,157,4
S041,5,89,5
S041,6,193,6
S041,7,23,7
S041,8,21,8
S041,9,17,9
S041,10,104,10
S041,11,120,11
S041,12,197,12
S041,13,167,13
S041,14,24,14
S041,15,42,15
S041,16,82,16
S041,17,129,17
S041,18,147,18
S041,19,129,19
S041,20,152,20
S042,1,148,1
S042,2,84,2
S042,3,183,3
S042,4,3,4
S042,5,57,5
S042,6,156,6
S042,7,9,7
S042,8,75,8
S042,9,44,9
S042,10,162,10
S042,11,166,11
S042,12,27,12
S042,13,197,13
S042,14,117,14
S042,15,79,15
S042,16,44,16
S042,17,101,17
S042,18,122,18
S042,19,191,19
S043,1,126,1
S043,2,130,2
S043,3,151,3
S043,4,161,4
S043,5,199,5
S043,6,75,6
S043,7,195,7
S043,8,110,8
S043,9,83,9
S043,10,169,10
S043,11,142,11
S043,12,47,12
S043,13,100,13
S043,14,92,14
S043,15,197,15
S044,1,139,1
S044,2,23,2
S044,3,95,3
S044,4,195,4
S044,5,39,5
S044,6,69,6
S044,7,196,7
S044,8,113,8
S044,9,161,9
S044,10,55,10
S044,11,44,11
S044,12,119,12
S044,13,21,13
S044,14,42,14
S044,15,170,15
S044,16,27,16
S044,17,34,17
S044,18,175,18
S044,19,136,19
S044,20,32,20
S045,1,25,1
S045,2,87,2
S045,3,165,3
S045,4,149,4
S045,5,91,5
S045,6,143,6
S045,7,8,7
S045,8,45,8
S045,9,70,9
S045,10,49,10
S045,11,98,11
S045,12,145,12
S045,13,176,13
S045,14,114,14
S045,15,45,15
S045,16,159,16
S045,17,198,17
S045,18,145,18
S045,19,135,19
S046,1,95,1
S046,2,102,2
S046,3,23,3
S046,4,191,4
S046,5,29,5
S046,6,74,6
S046,7,76,7
S046,8,199,8
S046,9,44,9
S046,10,127,10
S047,1,83,1
S047,2,134,2
S047,3,31,3
S047,4,195,4
S047,5,21,5
S047,6,134,6
S047,7,180,7
S047,8,89,8
S047,9,35,9
S047,10,92,10
S047,11,20,11
S047,12,176,12
S047,13,62,13
S047,14,174,14
S047,15,27,15
S047,16,109,16
S047,17,114,17
S047,18,76,18
S047,19,198,19
S047,20,52,20
S047,21,158,21
S048,1,24,1
S048,2,173,2
S048,3,156,3
S048,4,197,4
S048,5,166,5
S048,6,160,6
S048,7,148,7
S048,8,146,8
S048,9,122,9
S048,10,155,10
S048,11,11,11
S048,12,200,12
S048,13,195,13
S048,14,140,14
S048,15,155,15
S048,16,129,16
S048,17,101,17
S048,18,185,18
S049,1,191,1
S049,2,9,2
S049,3,9,3
S049,4,120,4
S049,5,65,5
S049,6,30,6
S049,7,59,7
S049,8,108,8
S049,9,180,9
S049,10,34,10
S049,11,138,11
S049,12,134,12
S049,13,98,13
S049,14,67,14
S049,15,169,15
S049,16,78,16
S050,1,107,1
S050,2,142,2
S050,3,107,3
S050,4,36,4
S050,5,34,5
S050,6,40,6
S050,7,90,7
S050,8,32,8
S050,9,169,9
S050,10,10,10
S051,1,40,1
S051,2,3,2
S051,3,188,3
S051,4,194,4
S051,5,108,5
S051,6,112,6
S051,7,185,7
S051,8,111,8
S051,9,1,9
S051,10,56,10
S051,11,123,11
S051,12,163,12
S051,13,2,13
S051,14,34,14
S051,15,128,15
S051,16,198,16
S051,17,5,17
S052,1,156,1
S052,2,15,2
S052,3,63,3
S052,4,44,4
S052,5,105,5
S052,6,94,6
S052,7,163,7
S052,8,127,8
S052,9,162,9
S052,10,188,10
S052,11,96,11
S052,12,109,12
S052,13,38,13
S052,14,148,14
S052,15,66,15
S052,16,74,16
S053,1,57,1
S053,2,43,2
S053,3,15,3
S053,4,30,4
S053,5,86,5
S053,6,145,6
S053,7,16,7
S053,8,146,8
S053,9,132,9
S053,10,150,10
S053,11,144,11
S053,12,171,12
S053,13,33,13
S053,14,133,14
S053,15,193,15
S054,1,140,1
S054,2,85,2
S054,3,189,3
S054,4,119,4
S054,5,173,5
S054,6,10,6
S054,7,118,7
S054,8,63,8
S054,9,175,9
S054,10,195,10
S054,11,85,11
S054,12,51,12
S054,13,24,13
S054,14,67,14
S054,15,24,15
S054,16,89,16
S054,17,119,17
S054,18,118,18
S054,19,161,19
S054,20,141,20
S055,1,67,1
S055,2,10,2
S055,3,120,3
S055,4,110,4
S055,5,143,5
S055,6,24,6
S055,7,159,7
S055,8,14,8
S055,9,40,9
S055,10,69,10
S055,11,5,11
S056,1,54,1
S056,2,55,2
S056,3,80,3
S056,4,8,4
S056,5,80,5
S056,6,74,6
S056,7,80,7
S056,8,28,8
S056,9,1,9
S056,10,9,10
S056,11,71,11
S056,12,200,12
S056,13,151,13
S056,14,139,14
S056,15,150,15
S057,1,36,1
S057,2,135,2
S057,3,112,3
S057,4,173,4
S057,5,49,5
S057,6,79,6
S057,7,51,7
S057,8,68,8
S057,9,157,9
S057,10,111,10
S057,11,59,11
S057,12,109,12
S057,13,20,13
S058,1,89,1
S058,2,115,2
S058,3,62,3
S058,4,20,4
S058,5,162,5
S058,6,151,6
S058,7,83,7
S058,8,34,8
S058,9,152,9
S058,10,178,10
S058,11,94,11
S058,12,88,12
S058,13,153,13
S058,14,91,14
S058,15,197,15
S058,16,199,16
S058,17,101,17
S058,18,108,18
S058,19,140,19
S058,20,2,20
S059,1,81,1
S059,2,103,2
S059,3,60,3
S059,4,47,4
S059,5,178,5
S059,6,66,6
S059,7,188,7
S059,8,72,8
S059,9,196,9
S059,10,85,10
S059,11,37,11
S059,12,5,12
S059,13,9,13
S059,14,96,14
S059,15,171,15
S060,1,109,1
S060,2,45,2
S060,3,128,3
S060,4,161,4
S060,5,58,5
S060,6,138,6
S060,7,60,7
S060,8,45,8
S060,9,158,9
S060,10,16,10
S060,11,133,11
S061,1,154,1
S061,2,16,2
S061,3,179,3
S061,4,169,4
S061,5,2,5
S061,6,177,6
S061,7,88,7
S061,8,120,8
S061,9,47,9
S061,10,1,10
S061,11,58,11
S061,12,60,12
S061,13,193,13
S061,14,63,14
S061,15,116,15
S062,1,17,1
S062,2,63,2
S062,3,149,3
S062,4,149,4
S062,5,170,5
S062,6,99,6
S062,7,141,7
S062,8,78,8
S062,9,165,9
S062,10,139,10
S062,11,60,11
S062,12,198,12
S062,13,107,13
S062,14,97,14
S062,15,117,15
S063,1,55,1
S063,2,55,2
S063,3,162,3
S063,4,8,4
S063,5,91,5
S063,6,55,6
S063,7,94,7
S063,8,166,8
S063,9,187,9
S063,10,73,10
S064,1,129,1
S064,2,51,2
S064,3,69,3
S064,4,80,4
S064,5,25,5
S064,6,2,6
S064,7,68,7
S064,8,84,8
S064,9,80,9
S064,10,193,10
S064,11,30,11
S064,12,105,12
S064,13,170,13
S064,14,21,14
S064,15,104,15
S064,16,181,16
S065,1,187,1
S065,2,59,2
S065,3,53,3
S065,4,178,4
S065,5,1,5
S065,6,154,6
S065,7,63,7
S065,8,137,8
S065,9,157,9
S065,10,60,10
S065,11,15,11
S065,12,48,12
S065,13,111,13
S065,14,102,14
S065,15,31,15
S065,16,81,16
S065,17,92,17
S065,18,73,18
S065,19,13,19
S066,1,176,1
S066,2,83,2
S066,3,199,3
S066,4,18,4
S066,5,52,5
S066,6,179,6
S066,7,127,7
S066,8,90,8
S066,9,193,9
S067,1,97,1
S067,2,29,2
S067,3,147,3
S067,4,186,4
S067,5,9,5
S067,6,66,6
S067,7,195,7
S067,8,129,8
S067,9,107,9
S067,10,121,10
S067,11,98,11
S067,12,138,12
S067,13,170,13
S067,14,12,14
S067,15,151,15
S067,16,193,16
S067,17,56,17
S067,18,22,18
S068,1,125,1
S068,2,178,2
S068,3,161,3
S068,4,193,4
S068,5,135,5
S068,6,71,6
S068,7,119,7
S068,8,189,8
S068,9,102,9
S068,10,115,10
S068,11,192,11
S068,12,34,12
S069,1,22,1
S069,2,140,2
S069,3,9,3
S069,4,188,4
S069,5,177,5
S069,6,84,6
S069,7,53,7
S069,8,169,8
S069,9,60,9
S069,10,105,10
S069,11,160,11
S069,12,57,12
S070,1,79,1
S070,2,35,2
S070,3,58,3
S070,4,93,4
S070,5,67,5
S070,6,137,6
S070,7,39,7
S070,8,160,8
S070,9,46,9
S070,10,145,10
S070,11,159,11
S070,12,56,12
S070,13,5,13
S070,14,143,14
S070,15,143,15
S070,16,84,16
S070,17,143,17
S070,18,195,18
S071,1,85,1
S071,2,3,2
S071,3,171,3
S071,4,14,4
S071,5,165,5
S071,6,27,6
S071,7,179,7
S071,8,164,8
S071,9,192,9
S071,10,192,10
S072,1,89,1
S072,2,72,2
S072,3,11,3
S072,4,129,4
S072,5,88,5
S072,6,93,6
S072,7,150,7
S072,8,151,8
S072,9,60,9
S072,10,59,10
S072,11,67,11
S072,12,178,12
S072,13,142,13
S072,14,117,14
S072,15,176,15
S072,16,174,16
S072,17,69,17
S072,18,139,18
S072,19,36,19
S073,1,150,1
S073,2,30,2
S073,3,135,3
S073,4,74,4
S073,5,39,5
S073,6,132,6
S073,7,10,7
S073,8,179,8
S073,9,87,9
S073,10,59,10
S073,11,114,11
S073,12,166,12
S073,13,147,13
S073,14,94,14
S073,15,102,15
S073,16,32,16
S073,17,188,17
S073,18,147,18
S073,19,178,19
S074,1,95,1
S074,2,159,2
S074,3,104,3
S074,4,33,4
S074,5,165,5
S074,6,115,6
S074,7,160,7
S074,8,196,8
S074,9,135,9
S074,10,183,10
S074,11,3,11
S074,12,62,12
S074,13,169,13
S074,14,87,14
S074,15,167,15
S074,16,182,16
S074,17,177,17
S075,1,200,1
S075,2,102,2
S075,3,103,3
S075,4,141,4
S075,5,108,5
S075,6,197,6
S075,7,145,7
S075,8,182,8
S075,9,43,9
S075,10,54,10
S075,11,34,11
S075,12,165,12
S075,13,191,13
S075,14,31,14
S075,15,134,15
S075,16,63,16
S075,17,188,17
S075,18,10,18
S075,19,10,19
S075,20,34,20
S076,1,90,1
S076,2,18,2
S076,3,54,3
S076,4,134,4
S076,5,65,5
S076,6,179,6
S076,7,200,7
S076,8,83,8
S076,9,104,9
S076,10,194,10
S076,11,125,11
S077,1,86,1
S077,2,44,2
S077,3,39,3
S077,4,79,4
S077,5,70,5
S077,6,51,6
S077,7,132,7
S077,8,199,8
S077,9,28,9
S077,10,91,10
S078,1,20,1
S078,2,131,2
S078,3,70,3
S078,4,95,4
S078,5,97,5
S078,6,116,6
S078,7,174,7
S078,8,56,8
S078,9,84,9
S078,10,79,10
S079,1,178,1
S079,2,143,2
S079,3,148,3
S079,4,194,4
S079,5,101,5
S079,6,123,6
S079,7,88,7
S079,8,181,8
S079,9,198,9
S079,10,183,10
S079,11,8,11
S079,12,1,12
S079,13,137,13
S079,14,94,14
S079,15,123,15
S079,16,155,16
S079,17,33,17
S079,18,95,18
S080,1,151,1
S080,2,158,2
S080,3,139,3
S080,4,15,4
S080,5,34,5
S080,6,110,6
S080,7,18,7
S080,8,154,8
S080,9,38,9
S080,10,109,10
S080,11,53,11
S080,12,36,12
S080,13,85,13
S080,14,111,14
S081,1,102,1
S081,2,184,2
S081,3,196,3
S081,4,48,4
S081,5,181,5
S081,6,150,6
S081,7,186,7
S081,8,136,8
S081,9,121,9
S081,10,68,10
S081,11,24,11
S081,12,200,12
S081,13,152,13
S081,14,12,14
S081,15,29,15
S081,16,140,16
S081,17,59,17
S081,18,82,18
S081,19,195,19
S081,20,156,20
S081,21,94,21
S082,1,114,1
S082,2,121,2
S082,3,194,3
S082,4,14,4
S082,5,140,5
S082,6,97,6
S082,7,93,7
S082,8,13,8
S082,9,79,9
S082,10,124,10
S082,11,42,11
S082,12,71,12
S082,13,195,13
S082,14,118,14
S082,15,195,15
S082,16,192,16
S082,17,83,17
S082,18,186,18
S082,19,38,19
S082,20,21,20
S083,1,148,1
S083,2,78,2
S083,3,133,3
S083,4,111,4
S083,5,153,5
S083,6,113,6
S083,7,132,7
S083,8,6,8
S083,9,19,9
S083,10,67,10
S083,11,16,11
S083,12,161,12
S083,13,19,13
S083,14,119,14
S083,15,139,15
S084,1,113,1
S084,2,162,2
S084,3,17,3
S084,4,194,4
S084,5,76,5
S084,6,3,6
S084,7,166,7
S084,8,146,8
S084,9,59,9
S085,1,12,1
S085,2,180,2
S085,3,162,3
S085,4,115,4
S085,5,54,5
S085,6,46,6
S085,7,121,7
S085,8,64,8
S085,9,183,9
S085,10,37,10
S085,11,81,11
S085,12,167,12
S085,13,69,13
S085,14,150,14
S085,15,75,15
S085,16,184,16
S085,17,140,17
S085,18,27,18
S085,19,63,19
S086,1,19,1
S086,2,51,2
S086,3,111,3
S086,4,43,4
S086,5,178,5
S086,6,139,6
S086,7,54,7
S086,8,194,8
S086,9,34,9
S086,10,104,10
S086,11,157,11
S086,12,176,12
S086,13,150,13
S086,14,154,14
S086,15,123,15
S086,16,20,16
S087,1,52,1
S087,2,124,2
S087,3,138,3
S087,4,15,4
S087,5,24,5
S087,6,188,6
S087,7,23,7
S087,8,176,8
S087,9,29,9
S087,10,36,10
S087,11,10,11
S087,12,81,12
S087,13,54,13
S087,14,108,14
S087,15,59,15
S087,16,69,16
S087,17,15,17
S087,18,45,18
S087,19,70,19
S087,20,31,20
S087,21,69,21
S088,1,100,1
S088,2,99,2
S088,3,175,3
S088,4,16,4
S088,5,136,5
S088,6,68,6
S088,7,189,7
S088,8,176,8
S088,9,12,9
S088,10,156,10
S088,11,62,11
S088,12,116,12
S088,13,75,13
S088,14,138,14
S089,1,166,1
S089,2,96,2
S089,3,46,3
S089,4,57,4
S089,5,101,5
S089,6,133,6
S089,7,14,7
S089,8,37,8
S089,9,111,9
S090,1,126,1
S090,2,124,2
S090,3,61,3
S090,4,17,4
S090,5,194,5
S090,6,30,6
S090,7,114,7
S090,8,195,8
S090,9,71,9
S090,10,41,10
S090,11,118,11
S090,12,147,12
S090,13,86,13
S090,14,93,14
S091,1,18,1
S091,2,12,2
S091,3,174,3
S091,4,55,4
S091,5,176,5
S091,6,86,6
S091,7,177,7
S091,8,62,8
S091,9,31,9
S091,10,49,10
S091,11,125,11
S091,12,15,12
S091,13,110,13
S091,14,63,14
S092,1,49,1
S092,2,144,2
S092,3,10,3
S092,4,199,4
S092,5,40,5
S092,6,146,6
S092,7,86,7
S092,8,28,8
S092,9,160,9
S092,10,95,10
S092,11,140,11
S092,12,24,12
S093,1,148,1
S093,2,102,2
S093,3,60,3
S093,4,22,4
S093,5,200,5
S093,6,71,6
S093,7,76,7
S093,8,48,8
S093,9,18,9
S093,10,121,10
S093,11,179,11
S093,12,73,12
S093,13,27,13
S093,14,40,14
S093,15,112,15
S093,16,94,16
S093,17,188,17
S093,18,108,18
S093,19,48,19
S093,20,170,20
S093,21,196,21
S094,1,140,1
S094,2,114,2
S094,3,159,3
S094,4,176,4
S094,5,146,5
S094,6,143,6
S094,7,16,7
S094,8,92,8
S094,9,177,9
S094,10,102,10
S094,11,139,11
S094,12,186,12
S094,13,154,13
S094,14,116,14
S094,15,173,15
S094,16,199,16
S094,17,19,17
S094,18,47,18
S094,19,86,19
S094,20,156,20
S094,21,175,21
S095,1,192,1
S095,2,23,2
S095,3,103,3
S095,4,27,4
S095,5,53,5
S095,6,9,6
S095,7,14,7
S095,8,43,8
S095,9,7,9
S095,10,76,10
S095,11,38,11
S095,12,2,12
S095,13,103,13
S096,1,61,1
S096,2,125,2
S096,3,116,3
S096,4,160,4
S096,5,77,5
S096,6,171,6
S096,7,122,7
S096,8,81,8
S096,9,84,9
S097,1,73,1
S097,2,145,2
S097,3,185,3
S097,4,172,4
S097,5,86,5
S097,6,53,6
S097,7,37,7
S097,8,76,8
S097,9,132,9
S097,10,152,10
S097,11,12,11
S097,12,170,12
S097,13,143,13
S097,14,58,14
S097,15,36,15
S098,1,36,1
S098,2,40,2
S098,3,101,3
S098,4,67,4
S098,5,103,5
S098,6,179,6
S098,7,171,7
S098,8,102,8
S098,9,140,9
S098,10,195,10
S098,11,109,11
S098,12,182,12
S098,13,149,13
S098,14,52,14
S099,1,9,1
S099,2,66,2
S099,3,108,3
S099,4,56,4
S099,5,165,5
S099,6,16,6
S099,7,54,7
S099,8,36,8
S099,9,39,9
S100,1,55,1
S100,2,136,2
S100,3,101,3
S100,4,41,4
S100,5,160,5
S100,6,81,6
S100,7,72,7
S100,8,61,8
S100,9,18,9
S100,10,65,10
S100,11,161,11
S100,12,144,12
S100,13,43,13
S100,14,45,14
S100,15,37,15
S100,16,177,16
S100,17,97,17
S100,18,61,18
S100,19,70,19
S100,20,11,20
S1000,1,105,1
S1000,2,95,2
S1000,3,118,3
S1000,4,180,4
S1000,5,97,5
S1000,6,78,6
S1000,7,108,7
S1000,8,106,8
S1000,9,64,9
S1000,10,29,10
S10000,1,46,1
S10000,2,32,2
S10000,3,93,3
S10000,4,167,4
S10000,5,59,5
S10000,6,158,6
S10000,7,22,7
S10000,8,64,8
S10000,9,137,9
S10000,10,12,10
S10000,11,10,11
S10000,12,151,12
S10000,13,44,13
S10000,14,48,14
S10000,15,186,15
S10000,16,90,16
S10000,17,157,17
S10000,18,102,18
S1001,1,33,1
S1001,2,114,2
S1001,3,135,3
S1001,4,198,4
S1001,5,26,5
S1001,6,61,6
S1001,7,152,7
S1001,8,196,8
S1001,9,67,9
S1001,10,89,10
