Source,Target,Frequency
153,22,8
192,195,8
157,107,8
1,120,8
23,132,8
150,35,8
34,61,8
115,20,8
9,3,8
180,16,8
78,122,8
44,22,8
107,141,8
91,103,8
132,189,8
90,197,8
195,64,8
194,88,8
75,56,8
40,192,8
65,96,8
157,68,8
70,155,8
37,106,8
85,147,8
123,54,8
28,35,8
19,85,8
55,8,8
76,27,8
107,187,8
136,187,8
192,167,8
176,128,8
179,170,8
36,59,8
86,84,8
142,142,8
177,9,8
8,19,8
80,152,8
170,171,8
84,195,8
68,62,8
185,149,8
186,34,8
67,87,8
178,157,8
15,126,8
153,106,8
105,150,8
10,142,8
18,78,8
135,121,8
144,121,8
97,147,7
43,144,7
62,106,7
146,189,7
12,107,7
22,127,7
26,158,7
3,99,7
34,169,7
153,124,7
56,126,7
61,152,7
163,131,7
155,20,7
38,1,7
129,97,7
189,197,7
151,50,7
118,34,7
113,56,7
148,39,7
129,147,7
53,185,7
95,175,7
161,70,7
158,87,7
43,26,7
26,119,7
142,73,7
28,100,7
135,45,7
94,77,7
98,20,7
141,82,7
192,47,7
185,28,7
28,26,7
76,134,7
37,148,7
63,200,7
184,25,7
98,64,7
75,44,7
126,130,7
55,44,7
197,166,7
148,146,7
15,63,7
38,148,7
15,30,7
63,175,7
118,161,7
143,24,7
14,40,7
80,28,7
139,150,7
173,49,7
103,60,7
96,171,7
187,73,7
170,21,7
137,157,7
73,13,7
176,83,7
52,179,7
193,56,7
178,161,7
177,84,7
85,3,7
174,69,7
194,125,7
70,51,7
101,123,7
151,158,7
154,38,7
48,181,7
150,186,7
68,24,7
79,124,7
113,132,7
194,76,7
146,59,7
69,150,7
178,139,7
100,99,7
136,68,7
189,176,7
114,195,7
118,147,7
18,12,7
176,86,7
86,28,7
140,24,7
102,60,7
48,18,7
199,19,7
77,171,7
185,172,7
86,53,7
76,132,7
66,108,7
55,136,7
45,37,7
172,25,7
121,184,7
74,134,7
134,30,7
169,122,7
46,107,7
153,159,7
144,103,7
91,71,7
193,181,7
83,24,7
200,34,7
22,12,7
23,17,7
105,39,7
98,75,7
182,116,7
143,21,7
166,116,7
27,167,7
146,4,7
126,35,7
132,100,7
170,46,7
152,137,7
50,170,7
49,74,7
101,49,7
79,150,7
8,164,7
129,108,7
152,166,7
91,78,7
156,199,7
156,55,7
95,161,7
35,61,7
54,169,7
74,157,7
118,168,7
57,110,7
94,57,7
174,161,7
123,181,7
69,160,7
190,42,7
49,29,7
106,29,7
109,194,7
183,76,7
95,130,7
188,36,7
161,129,7
148,57,7
163,194,7
48,78,7
164,110,7
110,121,7
187,141,7
141,148,7
191,70,7
191,58,7
58,139,7
196,26,7
81,48,7
33,56,7
160,51,7
159,40,7
114,40,7
163,36,7
132,185,7
19,183,7
43,143,7
127,38,7
38,122,7
100,123,7
120,191,7
88,173,7
59,187,7
58,185,7
45,66,7
127,44,7
108,43,7
25,177,7
13,132,7
65,74,7
127,177,7
58,35,7
28,149,7
174,97,7
95,143,7
88,166,7
169,177,7
31,80,7
171,138,7
130,52,7
93,75,7
25,112,7
95,88,7
188,131,7
37,134,7
27,112,7
138,34,7
131,183,7
195,137,7
168,91,7
10,111,7
176,51,7
90,154,7
144,38,7
187,63,7
96,130,7
152,3,7
152,113,7
121,122,7
156,192,7
187,100,7
15,169,7
26,138,7
144,26,7
88,140,7
191,39,7
159,190,7
12,73,7
142,5,7
113,21,7
162,107,7
73,84,7
188,97,7
97,82,7
32,45,7
64,143,7
26,108,7
57,77,7
75,159,7
198,131,7
62,162,7
10,57,7
72,96,7
96,115,7
198,190,7
93,146,7
146,22,7
72,15,7
125,100,7
100,36,7
7,99,7
81,184,7
96,126,7
89,77,7
34,145,7
143,53,7
188,42,7
176,68,7
120,103,7
155,168,7
50,15,7
66,165,7
186,107,7
51,104,7
177,175,7
160,142,7
150,112,7
87,147,7
137,172,7
104,173,7
95,27,7
102,90,7
139,28,7
4,21,7
163,17,7
156,8,7
4,3,7
166,144,7
138,97,7
124,112,7
75,170,7
165,129,7
127,97,7
21,158,7
174,184,7
98,56,7
56,73,7
171,123,7
28,161,7
24,62,7
72,106,7
102,16,7
88,127,7
59,45,7
94,69,7
104,154,7
159,141,7
100,167,7
34,194,7
166,111,7
99,112,7
135,7,7
121,84,7
38,53,7
197,172,7
5,49,7
172,48,7
43,163,7
74,88,7
3,175,7
195,134,7
40,172,7
106,160,7
14,108,7
191,94,7
54,159,7
101,178,7
184,179,7
154,172,7
65,53,7
79,132,7
153,134,7
39,157,7
157,140,7
63,121,7
37,176,7
104,156,7
71,106,7
31,24,7
118,149,7
30,171,7
9,116,7
199,83,7
25,82,7
89,39,7
51,193,7
88,101,7
150,46,7
136,75,7
179,153,7
35,163,7
110,85,7
21,91,7
80,14,7
154,162,7
146,109,7
148,14,7
14,92,7
92,48,7
197,36,7
93,74,7
160,69,7
44,149,7
31,14,7
172,172,7
194,172,7
95,15,7
62,176,7
185,147,7
108,41,7
30,187,7
7,35,7
162,102,7
7,109,7
164,43,7
43,120,7
193,105,7
108,79,7
93,160,7
130,198,7
105,100,7
85,61,7
190,169,7
62,85,7
48,94,7
90,128,7
170,84,7
67,113,7
177,153,7
137,88,7
156,114,7
63,157,7
200,147,7
40,170,7
96,24,7
24,31,7
27,142,7
199,107,7
160,133,7
54,81,7
106,105,7
97,59,7
131,63,7
118,67,7
104,190,7
23,32,7
12,32,7
75,122,7
137,11,7
76,152,7
179,37,7
46,22,7
125,43,7
107,134,7
134,35,7
82,118,7
27,47,7
47,138,7
53,133,7
134,81,7
8,11,7
37,42,7
25,107,7
175,74,7
74,28,7
120,6,7
64,191,7
5,62,7
158,94,7
10,21,7
70,124,7
40,179,7
117,132,7
134,198,7
14,136,7
56,122,7
118,105,7
167,185,7
127,192,7
70,63,7
59,174,7
130,71,7
19,150,7
170,180,7
186,175,7
60,36,7
54,115,7
115,139,7
139,41,7
173,200,7
110,109,7
80,167,7
55,156,7
145,196,7
82,127,7
91,179,7
29,104,7
159,38,7
94,130,7
186,166,7
73,148,7
177,13,7
173,152,7
126,38,7
76,128,7
128,111,7
109,60,7
168,139,7
85,7,7
174,106,7
136,195,7
189,110,7
38,157,7
27,195,7
168,46,7
52,38,7
118,68,7
159,55,7
77,90,7
54,96,7
7,101,7
4,144,7
18,21,7
21,177,7
63,47,7
164,176,7
162,106,7
172,182,7
8,46,7
113,26,7
144,196,7
148,2,7
55,62,7
164,156,7
182,102,7
15,153,7
27,113,7
59,199,7
47,133,7
132,46,7
96,17,7
99,85,7
91,84,7
144,183,7
158,38,7
18,101,7
189,92,7
178,11,7
196,195,7
113,183,7
14,184,7
13,138,7
71,37,7
100,169,7
57,63,7
182,35,7
35,21,7
89,23,7
38,40,7
24,18,7
40,159,7
163,180,7
50,13,7
17,141,7
184,114,7
188,32,7
174,89,7
151,89,7
47,195,7
191,72,7
72,137,7
115,13,7
43,193,7
7,174,7
174,150,7
116,196,7
150,19,7
58,152,7
18,46,7
45,125,7
95,62,7
84,8,7
198,124,7
187,72,7
111,187,7
37,127,7
166,142,7
143,95,7
192,2,7
20,124,7
110,118,7
157,99,7
129,5,7
163,193,7
116,21,7
174,132,7
134,184,7
80,94,7
34,126,7
41,166,7
74,41,7
47,23,7
107,132,7
164,200,7
125,144,7
123,67,7
120,127,7
58,130,7
1,45,7
195,155,7
90,4,7
137,18,7
122,188,7
68,53,7
61,67,7
58,109,7
54,167,7
172,128,7
164,124,7
122,173,7
110,186,7
45,119,7
195,159,7
150,63,7
132,8,7
93,106,7
123,196,7
127,103,7
99,198,7
158,2,7
175,41,7
37,22,7
155,124,7
56,186,7
183,148,7
193,2,7
181,182,7
65,99,7
74,58,7
96,45,7
60,67,7
146,100,7
179,120,7
45,97,7
175,3,7
15,70,7
121,114,7
114,73,7
12,163,7
53,29,7
145,172,7
16,50,7
32,66,7
75,81,7
153,69,7
157,118,7
197,17,7
35,135,7
93,4,7
71,91,7
142,186,7
5,150,7
109,68,7
63,102,7
103,145,7
146,136,7
11,175,7
13,21,7
141,10,7
99,149,7
97,49,7
6,21,7
125,117,7
67,135,7
42,21,7
164,92,7
164,197,7
121,82,7
29,25,7
159,51,7
18,5,7
5,149,7
173,157,7
188,135,7
25,93,7
135,6,7
153,180,7
57,128,7
135,141,7
141,156,7
194,124,7
75,146,7
140,1,7
93,187,7
48,167,7
147,128,7
117,85,7
34,195,7
138,88,7
192,200,7
18,128,7
105,98,7
27,154,7
152,78,7
135,96,7
97,126,7
126,153,7
157,77,7
23,67,7
50,198,7
44,37,7
81,6,7
6,128,7
154,113,7
99,139,7
18,64,7
185,168,7
168,96,7
196,101,7
61,178,7
27,80,7
35,200,7
5,195,7
77,92,7
8,141,7
114,169,7
122,105,7
36,32,7
172,122,7
146,12,7
40,132,7
99,197,7
79,66,7
162,116,7
121,127,7
174,179,7
194,106,7
106,30,7
65,183,7
102,163,7
126,107,7
116,181,7
10,32,7
28,141,7
153,61,7
81,81,7
7,50,7
170,187,7
2,39,7
29,28,7
25,147,7
161,147,7
117,37,7
47,91,7
23,73,7
177,29,7
139,25,7
16,125,7
72,125,7
130,128,7
29,105,7
117,69,7
70,27,7
107,70,7
48,49,7
68,25,7
60,10,7
137,186,7
102,107,7
48,138,7
49,8,7
147,123,7
130,33,7
43,151,7
29,48,7
113,166,7
111,17,7
27,26,7
26,68,7
176,141,7
141,127,7
75,162,7
174,39,7
38,126,7
162,76,7
76,103,7
118,180,7
200,106,7
33,67,7
65,138,7
39,121,7
192,131,7
107,74,7
152,65,7
14,89,7
88,65,7
149,166,7
113,81,7
189,3,7
98,194,7
23,45,7
194,157,7
131,150,7
37,86,7
4,111,7
86,69,7
122,180,7
101,130,7
100,25,7
62,109,7
20,71,7
77,124,7
26,76,7
48,27,7
51,198,7
84,180,7
145,187,7
37,89,7
198,168,7
105,109,7
154,184,7
161,41,7
20,169,7
158,44,7
14,144,7
22,54,7
103,95,7
95,82,7
79,95,7
74,188,7
195,136,7
95,119,7
122,6,7
152,46,7
64,147,7
169,148,7
88,69,7
192,112,7
140,149,7
189,68,7
60,120,7
166,131,7
152,163,7
92,109,7
121,16,7
53,103,7
70,65,7
151,125,7
177,86,7
169,170,7
148,140,7
81,195,7
2,122,7
175,94,7
155,54,7
86,115,7
89,199,7
149,35,7
140,175,7
175,152,7
75,9,7
135,43,7
198,11,7
184,28,7
4,64,7
152,160,7
65,101,7
166,64,7
194,94,7
40,126,7
170,3,7
153,35,7
81,30,7
9,109,7
82,130,7
107,56,7
72,127,7
198,65,7
182,51,7
113,90,7
111,65,7
165,53,7
79,36,7
68,91,7
193,165,7
78,108,7
134,62,7
143,172,7
145,75,7
128,70,7
68,61,7
44,194,7
51,114,7
118,193,7
61,3,7
57,37,7
60,84,7
83,33,7
187,82,7
172,75,7
27,84,7
199,183,7
72,151,7
121,85,7
142,13,7
170,95,7
95,67,7
136,137,7
32,33,7
72,136,7
163,56,7
79,127,7
139,77,7
79,41,7
175,29,7
200,109,7
23,197,7
197,2,7
71,63,7
191,162,7
192,78,7
159,60,7
185,103,7
120,192,7
11,83,7
83,170,7
190,104,7
106,181,7
147,200,7
181,23,7
68,176,7
141,87,7
87,180,7
136,145,7
145,178,7
181,109,7
186,66,7
161,112,7
99,71,7
4,63,7
43,121,7
121,173,7
90,157,7
117,13,7
178,77,7
194,165,7
60,65,7
39,113,7
169,19,7
19,126,7
151,192,7
196,125,7
121,87,7
146,171,7
163,5,7
55,98,7
175,192,7
94,90,7
124,178,7
182,56,7
173,73,7
198,98,7
178,188,7
70,138,7
12,75,7
89,195,7
126,63,7
187,114,7
129,91,7
162,92,7
9,140,7
113,83,7
64,175,7
22,42,7
79,171,7
103,78,7
38,78,7
144,34,7
177,185,7
139,183,7
10,31,7
145,81,7
156,115,7
127,107,7
25,39,7
12,189,7
145,82,7
4,113,7
131,33,7
89,178,7
21,120,7
56,8,7
186,71,7
180,15,7
17,41,7
44,172,7
4,98,7
138,121,7
170,142,7
101,102,7
39,47,7
79,144,7
146,160,7
136,65,7
71,196,7
22,154,7
100,40,7
78,76,7
137,146,7
39,1,7
34,69,7
141,175,7
61,39,7
153,193,7
85,142,7
142,192,7
188,16,7
46,167,7
197,139,7
180,190,7
70,58,7
49,43,7
35,177,7
92,148,7
127,145,7
107,140,7
183,133,7
193,38,7
181,125,7
28,171,7
17,29,7
8,181,7
96,85,7
30,109,7
98,80,7
21,108,7
107,24,7
82,171,7
6,183,7
150,106,7
67,90,7
119,40,7
51,38,7
13,112,7
177,109,7
71,121,7
152,83,7
25,22,7
96,185,7
170,69,7
42,113,7
185,130,7
47,157,7
81,176,7
83,83,7
18,122,7
161,18,7
143,96,7
66,171,7
167,150,7
196,155,7
121,198,7
111,126,7
47,166,7
142,7,7
128,15,7
148,19,7
45,174,7
179,125,7
64,18,7
135,101,7
174,152,7
109,121,7
70,159,7
124,16,7
64,11,7
2,120,7
156,184,7
86,188,7
60,109,7
133,184,7
37,160,7
47,141,7
25,189,7
40,194,7
187,190,7
70,2,7
46,173,7
1,61,7
130,48,7
158,152,7
87,103,7
176,100,7
120,69,7
177,152,7
196,116,7
118,65,7
173,178,7
133,156,7
176,69,7
184,63,7
6,157,7
32,184,7
48,81,7
154,62,7
34,101,7
65,25,7
137,1,7
66,1,7
2,115,7
164,93,7
161,38,7
178,168,7
174,176,7
91,27,7
197,150,7
170,1,7
177,72,7
91,5,7
67,158,7
3,163,7
11,68,7
73,46,7
91,59,7
133,104,7
62,161,7
80,159,7
43,38,7
47,63,7
163,173,7
153,7,7
142,26,7
63,91,7
195,123,7
86,58,7
30,36,7
105,163,7
172,69,7
69,186,7
8,129,7
200,124,7
92,29,7
73,81,7
64,93,7
126,14,7
165,188,7
137,44,7
153,26,7
107,49,7
20,173,7
145,38,7
44,131,7
145,32,7
78,22,7
147,183,7
98,155,7
63,73,7
91,17,7
199,119,7
66,2,7
12,164,7
183,165,7
140,173,7
42,18,7
123,115,7
196,121,7
138,45,7
145,7,7
63,6,7
39,140,7
81,75,7
102,189,7
81,136,7
163,52,7
37,138,7
130,65,7
132,130,7
73,5,7
53,148,7
46,162,7
173,128,7
141,5,7
115,133,7
65,95,7
125,23,7
51,19,7
163,130,7
105,178,7
181,77,7
121,195,7
128,38,7
116,23,7
6,194,7
88,75,7
165,194,7
139,156,7
60,99,7
92,62,7
158,78,7
40,8,7
61,153,7
161,89,7
161,173,7
62,148,7
43,96,7
26,185,7
110,64,7
64,169,7
124,174,7
74,142,7
28,105,7
68,182,7
127,123,7
176,181,7
147,36,7
13,168,7
195,101,7
76,44,7
74,186,7
142,112,7
173,110,7
94,104,7
43,145,7
190,1,7
98,114,7
52,148,7
99,55,7
137,159,7
27,186,7
146,154,7
176,71,7
35,82,7
123,176,7
18,192,7
98,98,7
147,80,7
73,102,7
42,65,7
20,123,7
198,81,7
121,32,7
164,39,7
49,26,7
134,124,7
187,18,7
94,60,7
19,52,7
56,64,7
10,18,7
95,61,7
1,175,7
174,82,7
89,141,7
178,4,7
65,195,7
154,35,7
182,126,7
104,40,7
34,116,7
162,73,7
37,70,7
46,78,7
190,48,7
38,169,7
43,136,7
152,64,7
66,32,7
12,46,7
173,39,7
170,54,7
63,161,7
68,30,7
150,145,7
58,154,7
197,195,7
72,94,7
193,90,7
178,28,7
17,103,7
60,98,7
84,171,7
36,99,7
122,75,7
57,71,7
91,93,7
115,34,7
105,112,7
1,170,7
141,161,7
173,8,7
16,21,7
68,100,7
70,71,7
76,15,7
76,96,7
96,187,7
68,42,7
48,132,7
153,138,7
24,51,7
131,125,7
17,9,7
52,54,7
145,169,7
141,72,7
21,34,7
117,48,7
62,4,7
89,126,7
