From,To,Weight,Level
2,11300,1.0,2
2,191,1.0,2
2,222134,1.0,2
2,223,1.0,2
2,2736,1.0,2
2,3266,1.0,2
2,3991,1.0,2
2,4204,1.0,2
2,4827,1.0,2
2,4951,1.0,2
2,7165,1.0,2
2,73819,1.0,2
2,784,1.0,2
2,7933,1.0,2
2,8169,1.0,2
2,8574,1.0,2
3,10838,1.0,2
3,1475,1.0,2
3,1816,1.0,2
3,23795,1.0,2
3,2408,1.0,2
3,2557,1.0,2
3,2825,1.0,2
3,32,1.0,2
3,3629,1.0,2
3,370,1.0,2
3,5304,1.0,2
3,5677,1.0,2
3,5928,1.0,2
3,601,1.0,2
3,71883,1.0,2
3,811,1.0,2
3,849,1.0,2
4,1043,1.0,2
4,11168,1.0,2
4,1801,1.0,2
4,1826,1.0,2
4,224830,1.0,2
4,2367,1.0,2
4,27130,1.0,2
4,32921,1.0,2
4,3350,1.0,2
4,3352,1.0,2
4,3361,1.0,2
4,337,1.0,2
4,3621,1.0,2
4,7074,1.0,2
4,799,1.0,2
4,9981,1.0,2
5,1022,1.0,2
5,118897,1.0,2
5,137,1.0,2
5,1409,1.0,2
5,1488,1.0,2
5,1504,1.0,2
5,187,1.0,2
5,2487,1.0,2
5,2770,1.0,2
5,3019,1.0,2
5,567,1.0,2
5,831,1.0,2
5,8604,1.0,2
5,942,1.0,2
5,99,1.0,2
6,143733,1.0,2
6,1501,1.0,2
6,2179,1.0,2
6,2223,1.0,2
6,284,1.0,2
6,2842,1.0,2
6,29206,1.0,2
6,2933,1.0,2
6,2970,1.0,2
6,30577,1.0,2
6,3225,1.0,2
6,372,1.0,2
6,3786,1.0,2
6,4601,1.0,2
6,5016,1.0,2
6,6575,1.0,2
6,9533,1.0,2
7,1566,1.0,2
7,177487,1.0,2
7,2024,1.0,2
7,2037,1.0,2
7,21398,1.0,2
7,2581,1.0,2
7,27,1.0,2
7,28117,1.0,2
7,327,1.0,2
7,3342,1.0,2
7,36781,1.0,2
7,550,1.0,2
7,6317,1.0,2
7,641,1.0,2
7,741,1.0,2
7,8437,1.0,2
7,9541,1.0,2
8,1021,1.0,2
8,1256,1.0,2
8,1391,1.0,2
8,144,1.0,2
8,1497,1.0,2
8,2442,1.0,2
8,329097,1.0,2
8,4026,1.0,2
8,429,1.0,2
8,4433,1.0,2
8,4718,1.0,2
8,6562,1.0,2
8,676,1.0,2
8,729,1.0,2
8,8095,1.0,2
8,888,1.0,2
9,1172,1.0,2
9,1231,1.0,2
9,1346,1.0,2
9,1470,1.0,2
9,19,1.0,2
9,201,1.0,2
9,2450,1.0,2
9,3100,1.0,2
9,3257,1.0,2
9,3747,1.0,2
9,4816,1.0,2
9,5536,1.0,2
9,66,1.0,2
9,7293,1.0,2
9,7399,1.0,2
9,7672,1.0,2
9,80554,1.0,2
